tag,mode,threshold,window,resolved,stop_frame,stop_time,stop_py,stop_tangent_vel,final_frame,final_time,final_py,final_tangent_vel,min_tangent_vel,max_tangent_vel
AR200_gap0.01_mu0.0_t18,sustained,1e-05,10,0,2000000,200.0,-12.0319,0.06202651340308772,2000000,200.0,-12.0319,0.06202651340308772,0.00011273614622871186,0.4729149458357631
AR200_gap0.01_mu0.0_t19,sustained,1e-05,10,0,2000000,200.0,-3.00796,0.17475942369198452,2000000,200.0,-3.00796,0.17475942369198452,1.3273603200782136e-07,0.46820293463826945
AR200_gap0.01_mu0.0_t2,sustained,1e-05,10,0,2000000,200.0,-26.4669,0.07066843446238966,2000000,200.0,-26.4669,0.07066843446238966,1.2148590939307924e-06,0.6255264173669095
AR200_gap0.01_mu0.0_t3,sustained,1e-05,10,0,2000000,200.0,-15.2513,0.19154664725327963,2000000,200.0,-15.2513,0.19154664725327963,0.00033982118172995197,0.5410243135613743
AR200_gap0.01_mu0.0_t4,sustained,1e-05,10,0,2000000,200.0,-25.7315,0.10485025919854532,2000000,200.0,-25.7315,0.10485025919854532,6.254107817037224e-06,0.6188973627589869
AR200_gap0.01_mu0.0_t5,sustained,1e-05,10,0,2000000,200.0,1.95536,0.04303957039424404,2000000,200.0,1.95536,0.04303957039424404,1.428810862842949e-06,0.45541118512726564
AR200_gap0.01_mu0.0_t6,sustained,1e-05,10,0,2000000,200.0,-21.8085,0.2098109630132552,2000000,200.0,-21.8085,0.2098109630132552,3.300584465912998e-05,0.5886785941318483
AR200_gap0.01_mu0.0_t7,sustained,1e-05,10,0,2000000,200.0,-13.756,2.4530474971196092e-05,2000000,200.0,-13.756,2.4530474971196092e-05,2.4530474971196092e-05,0.6129974638450914
AR200_gap0.01_mu0.0_t8,sustained,1e-05,10,0,2000000,200.0,-6.38827,0.08516920815886354,2000000,200.0,-6.38827,0.08516920815886354,3.6353043502534294e-06,0.5158881087744951
AR200_gap0.01_mu0.0_t9,sustained,1e-05,10,0,2000000,200.0,-38.7612,0.3180030845579649,2000000,200.0,-38.7612,0.3180030845579649,1.6963475025749686e-05,0.6788069974931832
AR200_gap0.01_mu0.1_t0,sustained,1e-05,10,1,213000,21.3,0.00867311,1.9332983159450903e-06,2000000,200.0,0.00170157,0.00025778267086838615,3.6286945755745865e-07,0.0609956
AR200_gap0.01_mu0.1_t1,sustained,1e-05,10,1,1211000,121.10000000000001,0.00459358,8.948256070219514e-06,2000000,200.0,0.00945636,9.144740886806693e-05,4.8217025654609586e-08,0.03064
AR200_gap0.01_mu0.1_t10,sustained,1e-05,10,0,2000000,200.0,0.0189417,0.0003728004014961908,2000000,200.0,0.0189417,0.0003728004014961908,4.332488040874612e-07,0.07461
AR200_gap0.01_mu0.1_t11,sustained,1e-05,10,1,252800,25.28,-0.105659,6.384504509972815e-06,2000000,200.0,-0.114542,0.00016380463536842194,1.1126399114854886e-07,0.138177
AR200_gap0.01_mu0.1_t12,sustained,1e-05,10,0,2000000,200.0,0.0219421,0.0009455417581443581,2000000,200.0,0.0219421,0.0009455417581443581,1.3279734447666854e-06,0.0183537
AR200_gap0.01_mu0.1_t13,sustained,1e-05,10,1,517000,51.7,-0.00167644,3.2085423841916966e-06,2000000,200.0,-0.00293728,6.254559530727795e-05,5.657397542487485e-09,0.05216904293735883
AR200_gap0.01_mu0.1_t14,sustained,1e-05,10,1,670100,67.01,0.018264,8.647143834753882e-06,2000000,200.0,0.0162087,8.479349363022994e-05,1.424553666569994e-08,0.08281466016842448
AR200_gap0.01_mu0.1_t15,sustained,1e-05,10,1,616100,61.61,0.00403408,4.009796710392735e-06,2000000,200.0,0.00110996,1.0238628718402778e-05,2.9443569993695425e-08,0.03501578939105974
AR200_gap0.01_mu0.1_t16,sustained,1e-05,10,1,578900,57.89,-0.00847861,9.144004849598292e-06,2000000,200.0,-0.0127935,0.00010060675913760296,9.236107425422105e-08,0.06963493397102749
AR200_gap0.01_mu0.1_t17,sustained,1e-05,10,1,201300,20.130000000000003,-0.135428,4.881537041379029e-06,2000000,200.0,-0.149921,0.0006170492799126333,3.090943801105688e-08,0.088577
AR200_gap0.01_mu0.1_t18,sustained,1e-05,10,1,455200,45.52,-0.0394773,6.151609463716544e-06,2000000,200.0,-0.0395983,4.75490492940258e-05,4.14741190699961e-09,0.0612709
AR200_gap0.01_mu0.1_t19,sustained,1e-05,10,1,521800,52.18,0.00466568,5.202259536588056e-06,2000000,200.0,0.00481912,4.6162331212536716e-05,4.863268250184629e-09,0.015676721738218824
AR200_gap0.01_mu0.1_t2,sustained,1e-05,10,1,352400,35.24,-0.00610097,5.592241573543311e-06,2000000,200.0,-0.00367626,1.4642003588173852e-06,1.4320559130875644e-10,0.130311
AR200_gap0.01_mu0.1_t3,sustained,1e-05,10,1,370200,37.02,-0.0387242,6.277511678415387e-06,2000000,200.0,-0.0354469,0.0001521673813138277,5.390348825703932e-08,0.0757752
AR200_gap0.01_mu0.1_t4,sustained,1e-05,10,1,191900,19.19,-0.0118623,8.886714434094993e-06,2000000,200.0,-0.00910162,3.360121081159014e-05,1.896482821058684e-08,0.1279049007177863
AR200_gap0.01_mu0.1_t5,sustained,1e-05,10,0,2000000,200.0,-0.0606481,0.0011832984410332084,2000000,200.0,-0.0606481,0.0011832984410332084,5.155593963193798e-06,0.00996436
AR200_gap0.01_mu0.1_t6,sustained,1e-05,10,1,796500,79.65,-0.0590422,7.970052560964231e-06,2000000,200.0,-0.0621182,4.704400676578489e-05,7.275123142705133e-09,0.10996867618827817
AR200_gap0.01_mu0.1_t7,sustained,1e-05,10,0,2000000,200.0,-0.00195074,0.0005541412682262213,2000000,200.0,-0.00195074,0.0005541412682262213,9.44188556215424e-08,0.0691528
AR200_gap0.01_mu0.1_t8,sustained,1e-05,10,1,1768000,176.8,-0.0119648,6.082517248956668e-06,2000000,200.0,-0.0136313,0.00013805546592832342,5.386397806313192e-07,0.032484080376376616
AR200_gap0.01_mu0.1_t9,sustained,1e-05,10,1,566600,56.660000000000004,-0.0128803,3.542406234579959e-06,2000000,200.0,-0.00892347,0.00011078212047045499,1.5288470300544636e-08,0.19835997782912837
AR200_gap0.01_mu0.2_t0,sustained,1e-05,10,1,1597500,159.75,-0.0487368,8.95941549231623e-06,2000000,200.0,-0.0487579,8.390708010520614e-05,3.686493984805966e-06,0.0936085
AR200_gap0.01_mu0.2_t1,sustained,1e-05,10,0,2000000,200.0,0.0167511,0.000698433819926986,2000000,200.0,0.0167511,0.000698433819926986,5.68300873082469e-07,0.03064
AR200_gap0.01_mu0.2_t10,sustained,1e-05,10,1,295700,29.57,-0.00528921,4.794308663917539e-06,2000000,200.0,-0.0146677,0.00010265188685772614,2.8073730885722226e-08,0.07461
AR200_gap0.01_mu0.2_t11,sustained,1e-05,10,1,135800,13.58,-0.0510063,4.3969711969575755e-06,2000000,200.0,-0.0531722,2.4862288655916715e-05,3.4288077729317904e-09,0.138177
AR200_gap0.01_mu0.2_t12,sustained,1e-05,10,1,799200,79.92,0.00184599,9.109430588605147e-06,2000000,200.0,0.0031401,9.869069826279994e-05,1.3443449761215497e-08,0.0183537
AR200_gap0.01_mu0.2_t13,sustained,1e-05,10,1,530700,53.07,0.00541035,1.8713175569604455e-06,2000000,200.0,0.00756608,0.0005562590440136606,7.641801314802264e-08,0.05216904293735883
AR200_gap0.01_mu0.2_t14,sustained,1e-05,10,0,2000000,200.0,-0.0456141,0.04043127971747568,2000000,200.0,-0.0456141,0.04043127971747568,3.29862422483406e-07,0.09753992177707654
AR200_gap0.01_mu0.2_t15,sustained,1e-05,10,1,1291700,129.17000000000002,0.0148388,4.998665463386099e-06,2000000,200.0,0.0143142,1.4874432062810468e-05,6.647545264269855e-08,0.03501578939105974
AR200_gap0.01_mu0.2_t16,sustained,1e-05,10,0,2000000,200.0,0.041093,0.00011420188644612119,2000000,200.0,0.041093,0.00011420188644612119,4.701594175817882e-10,0.06963493397102749
AR200_gap0.01_mu0.2_t17,sustained,1e-05,10,1,117800,11.780000000000001,-0.0775921,8.249067589374712e-06,2000000,200.0,-0.0756411,4.436349745205217e-05,3.0260975451217953e-07,0.088577
