frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
125,100,1.31546,0.14796,72.0422,0.001084,0.059876,0.001129,0,0.001414,0.389084,0.160458,0,0
126,100,1.30508,0.146793,70.3178,0.001454,0.057208,0.000998,0,0.001211,0.386627,0.155125,0,0
127,100,1.29759,0.144919,78.3358,0.001748,0.072412,0.001292,0,0.001496,0.381707,0.194167,0,0
128,100,1.32741,0.149503,72.167,0.00175,0.071207,0.001001,0,0.001707,0.392457,0.187833,0,0
129,100,1.42542,0.167623,78.212,0.007124,0.099998,0.019288,0,0.002124,0.444083,0.199334,0,0
130,100,1.34879,0.15033,78.4535,0.00704,0.120333,0.034292,0,0.002083,0.397582,0.204209,0,0
131,100,1.39325,0.159374,84.9524,0.001755,0.073497,0.001041,0,0.001831,0.412166,0.185959,0,0
132,100,1.34004,0.150875,74.4005,0.001702,0.068376,0.001251,0,0.001668,0.395959,0.191833,0,0
133,100,1.34079,0.150958,73.3847,0.001374,0.070211,0.001002,0,0.001545,0.396416,0.198292,0,0
134,100,1.36125,0.153461,77.4791,0.001791,0.076371,0.000917,0,0.001917,0.403003,0.20075,0,0
135,100,1.31738,0.148664,69.6295,0.005291,0.098044,0.030501,0,0.001753,0.392249,0.181,0,0
136,100,1.28587,0.145538,67.2129,0.001206,0.059251,0.000749,0,0.001504,0.38121,0.160584,0,0
137,100,1.28246,0.144669,66.0696,0.001204,0.060081,0.000875,0,0.001664,0.378709,0.176541,0,0
138,100,1.27421,0.143959,66.339,0.000875,0.057581,0.000834,0,0.001499,0.379792,0.167209,0,0
139,100,1.30433,0.146628,66.2054,0.000879,0.062918,0.001041,0,0.001461,0.385877,0.178708,0,0
140,100,1.30913,0.148129,66.2743,0.001372,0.064999,0.001166,0,0.001498,0.38658,0.190667,0,0
141,100,1.31404,0.148668,66.2646,0.005994,0.088751,0.01896,0,0.00171,0.38917,0.167333,0,0
142,100,1.3025,0.14763,65.7819,0.001292,0.061585,0.000876,0,0.00142,0.386753,0.183875,0,0
