run_name,N,AR,seed_id,metric,rod,mu,num_samples,final_frame,final_time,final_displacement,final_path_length,final_orientation_change_deg,max_displacement,max_path_length,max_orientation_change_deg
20260403-112108_N1000_117_696_524_AR150_MinFTA_rod7,1000,150,117_696_524,MinFTA,7,0.0,300,299,0.299,0.022333851472652436,0.02238512196959085,0.030764304819496137,0.022333851472652436,0.02238512196959085,0.0307796053017499
20260403-112108_N1000_117_696_524_AR150_MinFTA_rod7,1000,150,117_696_524,MinFTA,7,0.1,300,299,0.299,4.352711798413573e-05,0.00024974902623139185,0.027808588640909147,9.375398658191148e-05,0.00024974902623139185,0.027839382913904906
20260403-112108_N1000_117_696_524_AR150_MinFTA_rod7,1000,150,117_696_524,MinFTA,7,0.2,300,299,0.299,4.291634304086708e-05,0.0002305754357235596,0.02521256697542354,9.39433472897414e-05,0.0002305754357235596,0.02521256697542354
20260403-112108_N1000_117_696_524_AR150_MinFTA_rod7,1000,150,117_696_524,MinFTA,7,0.4,300,299,0.299,4.369568056457912e-05,0.00022053863035516753,0.019965669708394588,9.503853165954581e-05,0.00022053863035516753,0.01998658250985499
20260403-112108_N1000_117_696_524_AR150_MinFTA_rod7,1000,150,117_696_524,MinFTA,7,1.0,300,299,0.299,5.4677600532594456e-05,0.00022205661309671908,0.015157841961025013,0.0001031047525577782,0.00022205661309671908,0.015582230186757499
20260403-112108_N1000_117_696_524_AR200_MaxFSA_rod538,1000,200,117_696_524,MaxFSA,538,0.0,300,299,0.299,0.03623171789361496,0.052927844450001885,3.982835064078763,0.03623171789361496,0.052927844450001885,3.982835064078763
20260403-112108_N1000_117_696_524_AR200_MaxFSA_rod538,1000,200,117_696_524,MaxFSA,538,0.1,300,299,0.299,0.02978332230918005,0.04259137519467655,2.604309919269414,0.02978332230918005,0.04259137519467655,3.0706079244348796
20260403-112108_N1000_117_696_524_AR200_MaxFSA_rod538,1000,200,117_696_524,MaxFSA,538,0.2,300,299,0.299,0.01749278191740812,0.03194585559978723,2.594661840455386,0.01749278191740812,0.03194585559978723,3.323503907755888
20260403-112108_N1000_117_696_524_AR200_MaxFSA_rod538,1000,200,117_696_524,MaxFSA,538,0.4,300,299,0.299,0.007758254507941863,0.03063514728530091,1.2099757448369832,0.010008740352936517,0.03063514728530091,2.822422327395057
20260403-112108_N1000_117_696_524_AR200_MaxFSA_rod538,1000,200,117_696_524,MaxFSA,538,1.0,300,299,0.299,0.009999947785363679,0.022115792948913294,1.0411318012104769,0.009999947785363679,0.022115792948913294,3.105033423549389
20260403-112108_N1000_117_696_524_AR200_MaxFTA_rod538,1000,200,117_696_524,MaxFTA,538,0.0,300,299,0.299,0.03623171789361496,0.052927844450001885,3.982835064078763,0.03623171789361496,0.052927844450001885,3.982835064078763
20260403-112108_N1000_117_696_524_AR200_MaxFTA_rod538,1000,200,117_696_524,MaxFTA,538,0.1,300,299,0.299,0.02978332230918005,0.04259137519467655,2.604309919269414,0.02978332230918005,0.04259137519467655,3.0706079244348796
20260403-112108_N1000_117_696_524_AR200_MaxFTA_rod538,1000,200,117_696_524,MaxFTA,538,0.2,300,299,0.299,0.01749278191740812,0.03194585559978723,2.594661840455386,0.01749278191740812,0.03194585559978723,3.323503907755888
20260403-112108_N1000_117_696_524_AR200_MaxFTA_rod538,1000,200,117_696_524,MaxFTA,538,0.4,300,299,0.299,0.007758254507941863,0.03063514728530091,1.2099757448369832,0.010008740352936517,0.03063514728530091,2.822422327395057
20260403-112108_N1000_117_696_524_AR200_MaxFTA_rod538,1000,200,117_696_524,MaxFTA,538,1.0,300,299,0.299,0.009999947785363679,0.022115792948913294,1.0411318012104769,0.009999947785363679,0.022115792948913294,3.105033423549389
20260403-112108_N1000_117_696_524_AR200_MinFSA_rod5,1000,200,117_696_524,MinFSA,5,0.0,300,299,0.299,0.01615941511812851,0.016175126090655925,0.010566041441373412,0.01615941511812851,0.016175126090655925,0.02383906162370808
20260403-112108_N1000_117_696_524_AR200_MinFSA_rod5,1000,200,117_696_524,MinFSA,5,0.1,300,299,0.299,7.702793324503302e-05,0.0002333603444631069,0.01132296148770084,7.997036951272721e-05,0.0002333603444631069,0.021261216625214362
20260403-112108_N1000_117_696_524_AR200_MinFSA_rod5,1000,200,117_696_524,MinFSA,5,0.2,300,299,0.299,6.067379994694627e-05,0.00020937320837588792,0.009880206918800897,6.34059342648949e-05,0.00020937320837588792,0.017671028618207407
20260403-112108_N1000_117_696_524_AR200_MinFSA_rod5,1000,200,117_696_524,MinFSA,5,0.4,300,299,0.299,3.052380218780603e-05,0.00019016302601183565,0.0068990136654488885,3.5209231743982316e-05,0.00019016302601183565,0.014948007581044009
20260403-112108_N1000_117_696_524_AR200_MinFSA_rod5,1000,200,117_696_524,MinFSA,5,1.0,300,299,0.299,4.675684441876723e-05,0.00022175313496601318,0.008773176432771304,5.966648975765327e-05,0.00022175313496601318,0.01649216089900917
20260403-112108_N1000_117_696_524_AR200_MinFTA_rod5,1000,200,117_696_524,MinFTA,5,0.0,300,299,0.299,0.01615941511812851,0.016175126090655925,0.010566041441373412,0.01615941511812851,0.016175126090655925,0.02383906162370808
20260403-112108_N1000_117_696_524_AR200_MinFTA_rod5,1000,200,117_696_524,MinFTA,5,0.1,300,299,0.299,7.702793324503302e-05,0.0002333603444631069,0.01132296148770084,7.997036951272721e-05,0.0002333603444631069,0.021261216625214362
20260403-112108_N1000_117_696_524_AR200_MinFTA_rod5,1000,200,117_696_524,MinFTA,5,0.2,300,299,0.299,6.067379994694627e-05,0.00020937320837588792,0.009880206918800897,6.34059342648949e-05,0.00020937320837588792,0.017671028618207407
20260403-112108_N1000_117_696_524_AR200_MinFTA_rod5,1000,200,117_696_524,MinFTA,5,0.4,300,299,0.299,3.052380218780603e-05,0.00019016302601183565,0.0068990136654488885,3.5209231743982316e-05,0.00019016302601183565,0.014948007581044009
